"birthName","rdf-schema#label","award_label","birthDate","birthYear","birthPlace_label","deathDate","deathPlace_label","citizenship_label","nationality_label","stateOfOrigin_label","almaMater_label","field_label","22-rdf-syntax-ns#type_label","nobel_prize","corrected_nationality"
"NULL","Werner Arber","Nobel Prize in Physiology or Medicine","1929-06-03","1929-01-01T00:00:00+02:00","Gränichen","NULL","NULL","NULL","Switzerland","NULL","NULL","Microbiology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LivingPeople|Acquirer109764201|Alumnus109786338|Associate109816771|Biologist109855630|CausalAgent100007347|Colleague109935990|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Microbiologist110313580|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|Worker109632518|YagoLegalActorGeo|ETHZurichAlumni|FellowsOfTheAmericanAcademyOfArtsAndSciences|PhysicalEntity100001930|SwissBiologists|SwissMicrobiologists|SwissNobelLaureates|NobelLaureatesInPhysiologyOrMedicine|PeopleFromAarauDistrict|PhageWorkers|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","John Polanyi","Nobel Prize in Chemistry","1929-01-23","1929-01-01T00:00:00+02:00","{Berlin|Germany|Weimar Republic}","NULL","NULL","NULL","Hungary","NULL","University of Manchester","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GermanChemists|GermanEmigrantsToCanada|GermanNobelLaureates|LivingPeople|Acquirer109764201|AlumniOfTheUniversityOfManchester|Alumnus109786338|Associate109816771|CanadianChemists|CanadianNobelLaureates|CausalAgent100007347|Chemist109913824|Colleague109935990|Contestant109613191|Emigrant110051975|Friend110112591|Golfer110136959|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Medalist110304914|Object100002684|Organism100004475|Peer109626238|Person100007846|Player110439851|Recipient109627906|Scholar110557854|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|Companion109945905|CompanionsOfTheOrderOfCanada|FellowsOfTheRoyalSociety|FellowsOfTheRoyalSocietyOfCanada|Migrant110314952|PhysicalEntity100001930|RoyalMedalWinners|NobelLaureatesInChemistry|PeopleEducatedAtManchesterGrammarSchool|PeopleFromBerlin|PhysicalChemists|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Gary Becker","{Presidential Medal of Freedom|Pontifical Academy of Sciences|John von Neumann Award|John Bates Clark Medal|Nobel Memorial Prize in Economic Sciences}","1930-12-02","1930-01-01T00:00:00+02:00","Pottsville Pennsylvania","NULL","NULL","NULL","United States","NULL","{Princeton University|University of Chicago}","Socioeconomics","{agent|economist|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LibertarianEconomists|LivingPeople|Microeconomist110313724|Microeconomists|Acquirer109764201|Advocate109774783|Alumnus109786338|AmericanBloggers|AmericanEconomists|AmericanLibertarians|AmericanNobelLaureates|Associate109816771|Blogger109860415|CausalAgent100007347|Colleague109935990|Economist110043643|Honoree110183757|Intellectual109621545|Laureate110249011|Libertarian110257524|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|SocialScientist110619642|Whole100003553|YagoLegalActorGeo|FellowsOfTheAmericanAcademyOfArtsAndSciences|FellowsOfTheEconometricSociety|PhysicalEntity100001930|PrincetonUniversityAlumni|NobelLaureatesInEconomics|PeopleFromPottsvillePennsylvania|YagoLegalActor}","Nobel Memorial Prize in Economic Sciences","NULL"
"NULL","Harold Pinter","{Order of the Companions of Honour|Nobel Prize in Literature|Legion of Honour|Laurence Olivier Award|David Cohen Prize}","1930-10-10","1930-01-01T00:00:00+02:00","{London|London Borough of Hackney|Metropolitan Borough of Hackney}","2008-12-24","{London|United Kingdom}","NULL","NULL","NULL","NULL","NULL","{agent|artist|person|writer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Artist|Writer|JewishActivists|JewishActors|JewishDramatistsAndPlaywrights|JewishWriters|Acquirer109764201|Actor109765278|AlumniOfTheCentralSchoolOfSpeechAndDrama|AlumniOfTheRoyalAcademyOfDramaticArt|Alumnus109786338|Associate109816771|BritishAnti%E2%80%93IraqWarActivists|BritishAnti%E2%80%93nuclearWeaponsActivists|BritishAnti-warActivists|BritishConscientiousObjectors|BritishNobelLaureates|BritishPeopleOfPolishDescent|BritishPeopleOfUkrainianDescent|CausalAgent100007347|Colleague109935990|CommandingOfficer109941964|Communicator109610660|ConscientiousObjector109957013|Disputant109615465|Dissenter110018021|Dramatist110030277|Entertainer109616922|Honoree110183757|Intellectual109621545|Laureate110249011|Leader109623038|LivingThing100004258|Militant110315837|MilitaryOfficer110317007|Object100002684|Organism100004475|Peer109626238|Performer110415638|Person100007846|Politician110450303|Recipient109627906|Reformer110515194|Scholar110557854|Serviceman110582746|SkilledWorker110605985|Socialist110618848|Whole100003553|Worker109632518|Writer110794014|YagoLegalActorGeo|CommandersOfTheOrderOfTheBritishEmpire|EnglishConscientiousObjectors|EnglishDramatistsAndPlaywrights|EnglishHumanRightsActivists|EnglishSocialJusticeActivists|EnglishSocialists|FellowsOfTheRoyalSocietyOfLiterature|PhysicalEntity100001930|NobelLaureatesInLiterature|PeopleAssociatedWithQueenMaryUniversityOfLondon|PeopleFromHackney|PeopleFromLowerClapton|YagoLegalActor}","Nobel Prize in Literature","NULL"
"NULL","Reinhard Selten","Nobel Memorial Prize in Economic Sciences","1930-10-05","1930-01-01T00:00:00+02:00","Wrocław","NULL","NULL","NULL","Germany","NULL","Goethe University Frankfurt","Economics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GameTheorists|GermanEconomists|GermanMathematicians|GermanNobelLaureates|GermanPeopleOfJewishDescent|GoetheUniversityFrankfurtAlumni|LivingPeople|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Economist110043643|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Mathematician110301261|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|SocialScientist110619642|Theorist110706812|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInEconomics|PeopleFromTheProvinceOfLowerSilesia|PeopleFromWroc%C5%82aw|YagoLegalActor}","Nobel Memorial Prize in Economic Sciences","NULL"
"NULL","Robert Aumann","{John von Neumann Theory Prize|Israel Prize|Nobel Memorial Prize in Economic Sciences|Harvey Prize}","1930-06-08","1930-01-01T00:00:00+02:00","{Frankfurt|Germany|Weimar Republic}","NULL","NULL","NULL","Israel","NULL","{Massachusetts Institute of Technology|City College of New York}","{Game theory|Mathematical economics}","{agent|economist|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GameTheorists|GermanEmigrantsToTheUnitedStates|IsraeliEconomists|IsraeliMathematicians|IsraeliNobelLaureates|IsraeliPeopleOfGermanOrigin|IsraeliScientists|JohnVonNeumannTheoryPrizeWinners|LivingPeople|Acquirer109764201|Alumnus109786338|AmericanEconomists|AmericanEmigrantsToIsrael|AmericanNobelLaureates|AmericanPeopleOfGerman-JewishDescent|Associate109816771|CausalAgent100007347|Colleague109935990|Economist110043643|Emigrant110051975|Gambler110118844|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Mathematician110301261|Object100002684|Organism100004475|Peer109626238|Person100007846|PrizeWinner109627807|Recipient109627906|Scholar110557854|Scientist110560637|SocialScientist110619642|Theorist110706812|Traveler109629752|Whole100003553|YagoLegalActorGeo|FellowsOfTheAmericanAcademyOfArtsAndSciences|FellowsOfTheEconometricSociety|Migrant110314952|PhysicalEntity100001930|RabbiJacobJosephSchoolAlumni|Winner110782791|NobelLaureatesInEconomics|OrthodoxJewishScientists|PeopleWhoEmigratedToEscapeNazism|YagoLegalActor}","Nobel Memorial Prize in Economic Sciences","NULL"
"NULL","George E. Smith","{Nobel Prize in Physics|Charles Stark Draper Prize|IEEE Morris N. Liebmann Memorial Award}","1930-05-10","1930-01-01T00:00:00+02:00","White Plains New York","NULL","NULL","NULL","NULL","NULL","{University of Chicago|University of Pennsylvania}","Applied physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LivingPeople|Acquirer109764201|AmericanNobelLaureates|AmericanPhysicists|CausalAgent100007347|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|ScientistsAtBellLabs|NobelLaureatesInPhysics|YagoLegalActor}","Nobel Prize in Physics","NULL"
"NULL","Jerome Isaac Friedman","Nobel Prize in Physics","1930-03-28","1930-01-01T00:00:00+02:00","Chicago","NULL","NULL","NULL","United States","NULL","University of Chicago","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|JewishAmericanScientists|LivingPeople|Acquirer109764201|AmericanNobelLaureates|AmericanPhysicists|CausalAgent100007347|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|ExperimentalPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|YagoLegalActor}","Nobel Prize in Physics","NULL"
"NULL","Martin Karplus","Nobel Prize in Chemistry","1930-03-15","1930-01-01T00:00:00+02:00","{Vienna|First Austrian Republic}","NULL","NULL","{Americans|Austrians}","NULL","NULL","California Institute of Technology","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|HarvardUniversityAlumni|JewishAmericanScientists|JewishScientists|LivingPeople|TheoreticalChemists|Alumnus109786338|AmericanChemists|AmericanPeopleOfAustrian-JewishDescent|AustrianChemists|CausalAgent100007347|Chemist109913824|Intellectual109621545|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Akira Suzuki (chemist)","{Nobel Prize in Chemistry|Order of Culture|Person of Cultural Merit}","1930-09-12","1930-01-01T00:00:00+02:00","{Japan|Mukawa Hokkaido}","NULL","NULL","NULL","Japan","NULL","{Purdue University|Hokkaido University}","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|HokkaidoUniversityAlumni|JapaneseChemists|JapaneseNobelLaureates|LivingPeople|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Chemist109913824|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromHokkaid%C5%8D|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Hamilton O. Smith","Nobel Prize in Physiology or Medicine","1931-08-23","1931-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","United States","NULL","{University of California Berkeley|Johns Hopkins School of Medicine}","Microbiology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|JohnsHopkinsUniversityAlumni|LivingPeople|UniversityLaboratoryHighSchool(UrbanaIllinois)Alumni|Acquirer109764201|Alumnus109786338|AmericanBiologists|AmericanMicrobiologists|AmericanNobelLaureates|Biologist109855630|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Microbiologist110313580|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|Worker109632518|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PhageWorkers|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","James Cronin","{Nobel Prize in Physics|National Medal of Science|Franklin Institute}","1931-09-29","1931-01-01T00:00:00+02:00","{Chicago|United States}","NULL","NULL","NULL","United States","NULL","{Southern Methodist University|University of Chicago}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LivingPeople|WeakInteractionPhysicists|Acquirer109764201|AmericanNobelLaureates|AmericanNuclearPhysicists|AmericanPhysicists|CausalAgent100007347|Honoree110183757|Laureate110249011|LivingThing100004258|NuclearPhysicist110364643|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysics|YagoLegalActor}","Nobel Prize in Physics","NULL"
"NULL","Riccardo Giacconi","{Nobel Prize in Physics|Elliott Cresson Medal}","1931-10-06","1931-01-01T00:00:00+02:00","{Italy|Genoa}","NULL","NULL","NULL","Italy","NULL","University of Milan","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|ItalianEmigrantsToTheUnitedStates|ItalianNobelLaureates|LivingPeople|Acquirer109764201|AmericanAstronomers|AmericanNobelLaureates|AmericanPeopleOfItalianDescent|Astronomer109818343|CausalAgent100007347|Citizen109923673|Emigrant110051975|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|Migrant110314952|National109625401|PhysicalEntity100001930|NaturalizedCitizensOfTheUnitedStates|NobelLaureatesInPhysics|PeopleFromGenoa|YagoLegalActor}","Nobel Prize in Physics","NULL"
"NULL","Richard F. Heck","Nobel Prize in Chemistry","1931-08-15","1931-01-01T00:00:00+02:00","{Springfield Massachusetts|United States}","NULL","NULL","NULL","NULL","NULL","University of California Los Angeles","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|Acquirer109764201|AmericanNobelLaureates|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|OrganicChemists|PeopleFromSpringfieldMassachusetts|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","David Lee (physicist)","{Oliver E. Buckley Condensed Matter Prize|Nobel Prize in Physics|Francis Simon}","1931-01-20","1931-01-01T00:00:00+02:00","{Rye (town) New York|New York}","NULL","NULL","NULL","NULL","NULL","{Harvard University|Yale University|University of Connecticut}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|HarvardUniversityAlumni|LivingPeople|YaleUniversityAlumni|Acquirer109764201|Alumnus109786338|AmericanNobelLaureates|AmericanPhysicists|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromWestchesterCountyNewYork|YagoLegalActor}","Nobel Prize in Physics","NULL"
"Alice Ann Laidlaw","Alice Munro","{Nobel Prize in Literature|Governor General's Awards|Scotiabank Giller Prize|Man Booker International Prize}","1931-07-10","1931-01-01T00:00:00+02:00","Wingham Ontario","NULL","NULL","NULL","Canada","NULL","University of Western Ontario","NULL","{agent|artist|person|writer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Writer|LivingPeople|WomenShortStoryWriters|20th-centuryWomenWriters|Associate109816771|CanadianShortStoryWriters|CanadianWomenWriters|CausalAgent100007347|Colleague109935990|Communicator109610660|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Whole100003553|Writer110794014|YagoLegalActorGeo|FellowsOfTheRoyalSocietyOfLiterature|PhysicalEntity100001930|PostmodernWriters|PeopleFromHuronCountyOntario|YagoLegalActor}","Nobel Prize in Literature","NULL"
"NULL","Martinus J. G. Veltman","Nobel Prize in Physics","1931-06-27","1931-01-01T00:00:00+02:00","Waalwijk","NULL","NULL","NULL","NULL","NULL","Utrecht University","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LivingPeople|TheoreticalPhysicists|UtrechtUniversityAlumni|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|DutchNobelLaureates|DutchPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromWaalwijk|YagoLegalActor}","Nobel Prize in Physics","NULL"
"NULL","John Robert Schrieffer","{Nobel Prize in Physics|Comstock Prize in Physics}","1931-05-31","1931-01-01T00:00:00+02:00","Oak Park Illinois","NULL","NULL","NULL","NULL","NULL","{Massachusetts Institute of Technology|University of Illinois at Urbana–Champaign}","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LivingPeople|Acquirer109764201|AmericanNobelLaureates|AmericanPhysicists|CausalAgent100007347|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromOakParkIllinois|YagoLegalActor}","Nobel Prize in Physics","NULL"
"NULL","Luc Montagnier","Nobel Prize in Physiology or Medicine","1932-08-18","1932-01-01T00:00:00+02:00","{France|Chabris}","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|AIDSResearchers|JapanPrizeLaureates|LivingPeople|MedicalResearchers|Virologists|Acquirer109764201|Biologist109855630|CausalAgent100007347|Honoree110183757|Laureate110249011|LivingThing100004258|Microbiologist110313580|Object100002684|Organism100004475|Person100007846|Recipient109627906|ResearchWorker110523076|Scientist110560637|Virologist110755394|Whole100003553|YagoLegalActorGeo|FrenchBiologists|FrenchNobelLaureates|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromIndre|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Michael Smith (chemist)","Nobel Prize in Chemistry","1932-04-26","1932-01-01T00:00:00+02:00","{England|Blackpool}","2000-10-04","{British Columbia|Vancouver|Canada}","NULL","Canada","NULL","University of Manchester","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Geneticists|Acquirer109764201|AlumniOfTheUniversityOfManchester|Alumnus109786338|Associate109816771|Biochemist109854915|Biochemists|Biologist109855630|BritishNobelLaureates|CanadianChemists|CanadianNobelLaureates|CausalAgent100007347|Chemist109913824|Citizen109923673|Colleague109935990|Friend110112591|Geneticist110126424|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|Companion109945905|CompanionsOfTheOrderOfCanada|FellowsOfTheRoyalSociety|National109625401|PhysicalEntity100001930|NaturalizedCitizensOfCanada|NobelLaureatesInChemistry|PeopleAssociatedWithTheUniversityOfManchester|PeopleEducatedAtArnoldSchool|PeopleFromBlackpool|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Sheldon Lee Glashow","Nobel Prize in Physics","1932-12-05","1932-01-01T00:00:00+02:00","{New York City|Brookline Massachusetts|Massachusetts|United States}","NULL","NULL","NULL","United States","NULL","{Harvard University|Cornell University}","Theoretical physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|HarvardUniversityAlumni|JewishAmericanScientists|LivingPeople|TheoreticalPhysicists|Acquirer109764201|Alumnus109786338|AmericanNobelLaureates|AmericanPeopleOfRussian-JewishDescent|AmericanPhysicists|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|CornellUniversityAlumni|PhysicalEntity100001930|NobelLaureatesInPhysics|YagoLegalActor}","Nobel Prize in Physics","NULL"
"Dudley Robert Herschbach","Dudley R. Herschbach","{Nobel Prize in Chemistry|Irving Langmuir Award}","1932-06-18","1932-01-01T00:00:00+02:00","{San Jose California|United States}","NULL","NULL","NULL","United States","NULL","{Stanford University|Harvard University}","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|HarvardUniversityAlumni|LivingPeople|Acquirer109764201|Alumnus109786338|AmericanNobelLaureates|CausalAgent100007347|Chemist109913824|Defender109614684|Guard110150071|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Lookout110271216|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Watchman110770059|Whole100003553|YagoLegalActorGeo|DistinguishedEagleScouts|PhysicalEntity100001930|Preserver110466918|StanfordUniversityAlumni|NobelLaureatesInChemistry|PeopleFromSanJoseCalifornia|PhysicalChemists|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Oliver E. Williamson","{John von Neumann Award|Nobel Memorial Prize in Economic Sciences}","1932-09-27","1932-01-01T00:00:00+02:00","Superior Wisconsin","NULL","NULL","NULL","United States","NULL","{Massachusetts Institute of Technology|Stanford University|Carnegie Mellon University|Master of Business Administration|Bachelor of Science|Doctor of Philosophy}","Microeconomics","{agent|economist|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|InstitutionalEconomists|LivingPeople|Acquirer109764201|Alumnus109786338|AmericanBusinessTheorists|AmericanEconomists|AmericanNobelLaureates|Associate109816771|CarnegieMellonUniversityAlumni|CausalAgent100007347|Colleague109935990|Economist110043643|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|SocialScientist110619642|Theorist110706812|Whole100003553|YagoLegalActorGeo|FellowsOfTheEconometricSociety|PhysicalEntity100001930|NobelLaureatesInEconomics|YagoLegalActor}","Nobel Memorial Prize in Economic Sciences","NULL"
"NULL","Pierre-Gilles de Gennes","{Nobel Prize in Physics|Wolf Prize|Lorentz Medal|Harvey Prize}","1932-10-24","1932-01-01T00:00:00+02:00","{Paris|France}","2007-05-18","{Orsay|France}","NULL","France","NULL","École Normale Supérieure","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Lyc%C3%A9eSaint-LouisAlumni|Acquirer109764201|AlumniOfThe%C3%89coleNormaleSup%C3%A9rieure|Alumnus109786338|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ExperimentalPhysicists|FrenchNobelLaureates|FrenchPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|YagoLegalActor}","Nobel Prize in Physics","NULL"
"NULL","Robert Mundell","Nobel Memorial Prize in Economic Sciences","1932-10-24","1932-01-01T00:00:00+02:00","{Canada|Kingston Ontario}","NULL","NULL","NULL","Canada","NULL","{Massachusetts Institute of Technology|UBC Vancouver School of Economics|University of Washington|London School of Economics}","Monetary economics","{agent|economist|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GuggenheimFellows|InternationalEconomists|LivingPeople|Acquirer109764201|AlumniOfTheLondonSchoolOfEconomics|Alumnus109786338|Associate109816771|CanadianEconomists|CanadianNobelLaureates|CausalAgent100007347|Colleague109935990|Economist110043643|Friend110112591|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|SocialScientist110619642|Whole100003553|YagoLegalActorGeo|Companion109945905|CompanionsOfTheOrderOfCanada|PhysicalEntity100001930|Supply-sideEconomists|MonetaryEconomists|NobelLaureatesInEconomics|PeopleFromKingstonOntario|PeopleFromMapleRidgeBritishColumbia|YagoLegalActor}","Nobel Memorial Prize in Economic Sciences","NULL"
"NULL","Walter Gilbert","Nobel Prize in Chemistry","1932-03-21","1932-01-01T00:00:00+02:00","{Boston|Massachusetts|United States}","NULL","NULL","NULL","United States","NULL","{Harvard University|Trinity College Cambridge}","{Biochemistry|Physics}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|HarvardFellows|HarvardUniversityAlumni|LivingPeople|Acquirer109764201|AlumniOfTrinityCollegeCambridge|Alumnus109786338|AmericanBiochemists|AmericanNobelLaureates|AmericanPhysicists|Associate109816771|Biochemist109854915|CausalAgent100007347|Chemist109913824|Colleague109935990|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromBostonMassachusetts|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","François Englert","{Nobel Prize in Physics|Wolf Prize in Physics|Francqui Prize|Sakurai Prize}","1932-11-06","1932-01-01T00:00:00+02:00","{Belgium|Brussels|Etterbeek}","NULL","NULL","NULL","Belgium","NULL","Université libre de Bruxelles","Theoretical physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|TheoreticalPhysicists|Academician109759069|Adult109605289|BelgianAcademics|BelgianPhysicists|CausalAgent100007347|Educator110045713|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Professional110480253|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|ParticlePhysicists|YagoLegalActor}","Nobel Prize in Physics","NULL"
"NULL","Melvin Schwartz","Nobel Prize in Physics","1932-11-02","1932-01-01T00:00:00+02:00","{New York City|New York}","2006-08-28","{Idaho|Twin Falls Idaho}","NULL","United States","NULL","Columbia University","Particle physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Acquirer109764201|Alumnus109786338|AmericanNobelLaureates|BrookhavenNationalLaboratoryNobelLaureates|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ColumbiaUniversityAlumni|ExperimentalPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|YagoLegalActor}","Nobel Prize in Physics","NULL"
